bay_id,st_marker_id,status,location,lat,lon
5080,9866N,Unoccupied,"(-37.82524970563905, 144.96966235448235)",-37.82524970563905,144.96966235448235
6254,13412E,Unoccupied,"(-37.81936057119435, 144.94751203992215)",-37.81936057119435,144.94751203992215
5036,9512N,Unoccupied,"(-37.82837376717498, 144.96640899509504)",-37.82837376717498,144.96640899509504
5451,11854E,Unoccupied,"(-37.8126522189701, 144.97796646250606)",-37.8126522189701,144.97796646250606
5369,11712E,Present,"(-37.81026115877549, 144.97294181066806)",-37.81026115877549,144.97294181066806
5733,12420N,Unoccupied,"(-37.810876946438654, 144.9777832199635)",-37.810876946438654,144.9777832199635
5443,11838E,Unoccupied,"(-37.81306530448513, 144.97789746254705)",-37.81306530448513,144.97789746254705
8150,15193S,Present,"(-37.816803333884565, 144.98165467509347)",-37.816803333884565,144.98165467509347
6424,13675W,Present,"(-37.82102321088048, 144.9462295364608)",-37.82102321088048,144.9462295364608
5783,12483S,Unoccupied,"(-37.8121409749146, 144.9774876674445)",-37.8121409749146,144.9774876674445
977,902E,Unoccupied,"(-37.81739896546509, 144.96470731486193)",-37.81739896546509,144.96470731486193
2042,3511S,Unoccupied,"(-37.812971518107375, 144.9561464140067)",-37.812971518107375,144.9561464140067
5076,9858N,Unoccupied,"(-37.82521722833195, 144.969773706127)",-37.82521722833195,144.969773706127
2345,3008N,Present,"(-37.813108958292716, 144.95908028460954)",-37.813108958292716,144.95908028460954
5138,9951S,Unoccupied,"(-37.826099556319534, 144.96711904843448)",-37.826099556319534,144.96711904843448
4059,C6156,Unoccupied,"(-37.80398911022851, 144.95246910299)",-37.80398911022851,144.95246910299
6056,13034N,Unoccupied,"(-37.82117319038632, 144.94391931390288)",-37.82117319038632,144.94391931390288
4829,9222N,Unoccupied,"(-37.83125755818274, 144.9664099517392)",-37.83125755818274,144.9664099517392
2370,3109S,Present,"(-37.813692986376616, 144.9577406899979)",-37.813692986376616,144.9577406899979
4869,9276N,Unoccupied,"(-37.82896730532619, 144.96993785828036)",-37.82896730532619,144.96993785828036
2004,3428N,Unoccupied,"(-37.81044429152218, 144.9646278691235)",-37.81044429152218,144.9646278691235
